Weapon Type,Weapon ID,Purchase Timestamp,Usage Hours,Performance Metrics,Maintenance Logs,Number of Failures,Parts with Issues,Area,Battalion,Temperature,Weather Conditions
Type D,G-475,2019-07-31,7338,97.34,33,1,Armor Plating,Urban,East Battalion,32,Rainy
Type D,G-603,2024-04-15,7086,61.39,36,1,Armor Plating,Rural,North-East Battalion,27,Rainy
Type C,G-714,2019-10-10,8201,74.38,48,3,None,Urban,North Battalion,33,Sunny
Type D,G-265,2023-11-01,1054,88.19,2,5,Engine,Rural,North-East Battalion,27,Rainy
Type E,G-240,2019-04-23,139,98.55,0,4,Engine,Rural,North-East Battalion,25,Rainy
Type E,G-120,2019-09-22,1071,68.65,5,7,None,Semi-Urban,West Battalion,39,Dry
Type A,G-252,2024-01-16,3425,61.35,42,1,None,Urban,East Battalion,29,Rainy
Type B,G-325,2023-08-04,2875,68.47,21,6,Gun System,Urban,West Battalion,35,Hot
Type C,G-697,2022-11-13,8074,98.03,22,2,None,Urban,East Battalion,28,Rainy
Type A,G-149,2017-08-06,2278,61.02,28,1,None,Urban,South Battalion,36,Hot
Type C,G-417,2022-07-26,7320,88.72,2,7,None,Urban,West Battalion,34,Hot
Type C,G-433,2024-09-16,9296,89.81,37,2,None,Rural,North Battalion,29,Cool
Type B,G-973,2018-10-12,6095,90.39,44,4,None,Rural,East Battalion,33,Cloudy
Type D,G-884,2015-12-28,1665,84.6,7,9,Wiring,Rural,North Battalion,29,Cool
Type C,G-470,2024-07-26,364,89.32,44,3,None,Semi-Urban,West Battalion,33,Humid
Type E,G-820,2019-05-12,9229,78.47,14,8,None,Rural,North Battalion,27,Cool
Type E,G-300,2022-09-23,8673,98.49,30,4,Gun System,Rural,North-East Battalion,28,Rainy
Type A,G-557,2022-09-29,3607,63.5,41,4,None,Rural,North-East Battalion,28,Rainy
Type A,G-816,2020-08-12,5773,99.51,25,6,Sensors,Semi-Urban,West Battalion,30,Humid
Type C,G-688,2024-12-24,1449,68.87,5,2,None,Semi-Urban,West Battalion,36,Dry
Type B,G-621,2020-07-28,9101,66.9,14,6,None,Semi-Urban,West Battalion,36,Dry
Type B,G-805,2019-09-19,6256,98.08,32,5,Sensors,Rural,North-East Battalion,25,Rainy
Type D,G-635,2020-07-20,9388,86.21,6,0,Armor Plating,Urban,North Battalion,36,Sunny
Type E,G-693,2022-05-30,8728,96.84,49,0,Sensors,Urban,East Battalion,31,Rainy
Type D,G-798,2022-03-17,1888,65.55,42,4,None,Rural,North Battalion,30,Cool
Type A,G-537,2022-09-03,3583,74.18,26,4,None,Urban,East Battalion,29,Rainy
Type E,G-912,2024-04-22,9264,92.39,41,8,None,Semi-Urban,West Battalion,34,Humid
Type B,G-441,2022-02-21,9491,62.74,3,4,None,Urban,North Battalion,35,Sunny
Type E,G-208,2019-09-17,7399,77.65,20,6,None,Rural,South Battalion,29,Humid
Type A,G-614,2017-06-15,5719,64.36,36,2,None,Rural,North-East Battalion,26,Rainy
Type E,G-491,2025-02-21,3843,91.42,17,0,Navigation System,Semi-Urban,West Battalion,30,Humid
Type A,G-342,2024-01-17,1565,80.21,2,3,Armor Plating,Rural,North Battalion,30,Cool
Type E,G-390,2023-01-09,1639,60.29,24,1,Gun System,Rural,North Battalion,26,Cool
Type A,G-444,2025-01-26,6577,87.5,31,5,Wiring,Rural,East Battalion,33,Cloudy
Type C,G-867,2024-09-11,727,60.95,28,4,None,Urban,West Battalion,35,Hot
Type E,G-963,2015-09-11,3573,84.36,33,0,None,Urban,South Battalion,32,Hot
Type D,G-622,2024-07-27,9992,94.72,7,2,None,Urban,North Battalion,35,Sunny
Type A,G-171,2015-12-02,9559,79.56,13,1,Transmission,Rural,North Battalion,27,Cool
Type B,G-187,2018-02-23,1698,82.95,23,7,Radar,Urban,West Battalion,38,Hot
Type A,G-480,2018-06-28,9315,61.54,2,2,None,Urban,East Battalion,29,Rainy
Type C,G-176,2016-10-04,3367,79.71,2,2,None,Urban,East Battalion,32,Rainy
Type B,G-897,2022-03-01,9016,78.3,42,2,None,Rural,North Battalion,29,Cool
Type E,G-781,2024-01-13,2914,96.03,37,8,None,Rural,South Battalion,32,Humid
Type E,G-483,2019-11-19,7134,82.31,18,3,None,Rural,East Battalion,31,Cloudy
Type C,G-327,2016-12-27,7339,94.7,19,7,Wiring,Rural,North Battalion,27,Cool
Type E,G-315,2017-09-18,7878,91.7,14,3,Radar,Urban,South Battalion,34,Hot
Type E,G-707,2024-07-20,1068,80.84,49,4,None,Semi-Urban,West Battalion,37,Dry
Type C,G-724,2018-03-01,9196,93.75,18,10,None,Rural,North-East Battalion,26,Rainy
Type A,G-942,2024-11-16,9859,70.26,20,8,Engine,Urban,South Battalion,33,Hot
Type B,G-862,2016-12-06,1324,87.39,47,1,None,Rural,East Battalion,31,Cloudy
Type E,G-919,2017-06-24,4964,71.7,24,9,Engine,Rural,East Battalion,35,Cloudy
Type D,G-387,2020-07-14,8029,88.89,0,7,Gun System,Rural,East Battalion,33,Cloudy
Type D,G-461,2023-04-06,4930,68.27,10,3,Brakes,Urban,East Battalion,32,Rainy
Type B,G-535,2015-10-30,9896,71.64,42,6,Wiring,Rural,South Battalion,29,Humid
Type E,G-349,2016-12-28,5934,69.86,26,4,Engine,Rural,East Battalion,32,Cloudy
Type B,G-106,2019-09-09,8070,97.08,19,1,None,Rural,South Battalion,33,Humid
Type D,G-509,2023-03-12,212,72.85,7,3,None,Urban,East Battalion,32,Rainy
Type E,G-210,2024-06-29,4691,81.27,24,8,Engine,Semi-Urban,West Battalion,37,Dry
Type D,G-279,2019-10-01,4759,92.65,12,2,None,Urban,South Battalion,35,Hot
Type B,G-989,2024-06-27,7201,62.39,36,6,None,Rural,South Battalion,29,Humid
Type A,G-426,2017-01-17,1738,84.71,19,5,Radar,Urban,North Battalion,34,Sunny
Type D,G-934,2017-02-01,6275,77.12,38,8,None,Semi-Urban,West Battalion,33,Humid
Type B,G-408,2022-06-12,4294,94.68,0,1,None,Urban,North Battalion,36,Sunny
Type A,G-940,2016-07-19,2639,79.7,44,3,None,Urban,East Battalion,28,Rainy
Type A,G-128,2021-10-11,4382,98.08,20,6,Navigation System,Rural,North Battalion,27,Cool
Type B,G-519,2023-10-22,9115,75.07,19,0,Brakes,Semi-Urban,West Battalion,31,Humid
Type C,G-817,2017-06-28,8216,62.71,16,0,Radar,Rural,North-East Battalion,25,Rainy
Type D,G-243,2022-05-12,8654,99.82,46,3,None,Urban,East Battalion,32,Rainy
Type B,G-932,2024-01-14,5635,89.89,8,5,None,Rural,South Battalion,32,Humid
Type C,G-749,2021-11-24,4362,64.44,25,3,None,Urban,West Battalion,37,Hot
Type E,G-894,2017-06-03,6453,92.59,42,6,None,Rural,North Battalion,28,Cool
Type E,G-235,2016-02-03,8783,85.43,33,1,None,Rural,South Battalion,29,Humid
Type B,G-494,2015-12-18,3366,66.06,8,2,None,Rural,South Battalion,29,Humid
Type B,G-178,2025-01-12,3119,85.08,6,1,None,Urban,West Battalion,36,Hot
Type A,G-647,2021-04-04,1812,82.73,37,6,None,Urban,East Battalion,31,Rainy
Type A,G-392,2021-06-23,7087,87.48,6,2,None,Urban,West Battalion,36,Hot
Type A,G-817,2022-01-13,1081,91.63,49,2,Gun System,Urban,South Battalion,33,Hot
Type D,G-436,2023-09-09,9938,98.31,42,4,None,Rural,North-East Battalion,25,Rainy
Type E,G-995,2018-01-19,6063,91.96,15,6,Brakes,Semi-Urban,West Battalion,33,Humid
Type C,G-206,2024-02-21,5400,75.31,17,9,Navigation System,Rural,South Battalion,30,Humid
Type A,G-114,2022-02-01,5812,87.88,42,4,Armor Plating,Urban,South Battalion,34,Hot
Type C,G-538,2020-04-09,5955,61.79,43,4,Armor Plating,Urban,North Battalion,36,Sunny
Type D,G-362,2022-09-29,1792,70.36,11,1,Brakes,Rural,East Battalion,31,Cloudy
Type E,G-634,2018-09-09,9201,90.19,22,3,None,Urban,West Battalion,34,Hot
Type B,G-442,2015-04-24,7815,87.7,22,7,None,Urban,East Battalion,28,Rainy
Type A,G-469,2021-04-23,9278,64.02,3,4,Radar,Semi-Urban,West Battalion,30,Humid
Type A,G-950,2021-10-18,4051,92.07,46,4,Radar,Urban,South Battalion,36,Hot
Type C,G-738,2023-01-05,5029,71.95,47,8,None,Rural,East Battalion,33,Cloudy
Type B,G-892,2022-11-12,5920,86.38,45,2,Sensors,Urban,South Battalion,33,Hot
Type B,G-322,2020-01-07,1783,80.77,6,7,None,Semi-Urban,West Battalion,30,Humid
Type C,G-752,2022-02-12,3112,94.11,14,7,Wiring,Rural,North Battalion,28,Cool
Type C,G-857,2023-10-19,1661,74.43,12,8,Armor Plating,Rural,South Battalion,32,Humid
Type D,G-459,2022-02-11,7985,65.68,4,7,Engine,Urban,South Battalion,32,Hot
Type E,G-757,2018-09-13,579,83.0,14,6,None,Urban,West Battalion,34,Hot
Type C,G-229,2016-06-17,9241,83.62,21,4,Transmission,Rural,North-East Battalion,28,Rainy
Type A,G-261,2015-05-29,8657,72.03,12,3,Engine,Urban,West Battalion,37,Hot
Type B,G-469,2019-10-30,7082,79.92,3,10,Navigation System,Semi-Urban,West Battalion,38,Dry
Type C,G-635,2021-04-10,6067,62.98,48,2,None,Semi-Urban,West Battalion,38,Dry
Type B,G-597,2019-07-27,1193,95.67,32,1,None,Urban,North Battalion,37,Sunny
Type A,G-852,2018-08-10,4888,73.45,36,4,None,Semi-Urban,West Battalion,34,Humid
Type C,G-715,2024-07-19,5840,61.25,7,4,Sensors,Urban,West Battalion,38,Hot
Type B,G-139,2015-05-11,8609,84.67,6,8,Transmission,Rural,East Battalion,35,Cloudy
Type E,G-374,2018-07-02,1844,73.17,40,2,None,Rural,North-East Battalion,28,Rainy
Type D,G-943,2015-07-05,8901,76.79,13,0,None,Semi-Urban,West Battalion,36,Dry
Type E,G-780,2024-05-24,5136,88.42,35,8,Brakes,Rural,North-East Battalion,26,Rainy
Type B,G-567,2020-09-21,5792,67.29,36,4,None,Urban,South Battalion,33,Hot
Type E,G-356,2016-05-23,9570,91.2,27,2,None,Rural,North Battalion,26,Cool
Type C,G-623,2024-03-27,3515,89.05,40,3,Wiring,Rural,East Battalion,33,Cloudy
Type B,G-649,2024-10-07,1358,70.41,4,8,None,Rural,East Battalion,34,Cloudy
Type C,G-976,2017-02-21,836,83.72,28,4,None,Urban,North Battalion,37,Sunny
Type E,G-209,2022-10-24,3160,90.23,8,4,None,Rural,North Battalion,27,Cool
Type C,G-919,2024-10-31,3325,95.41,41,2,None,Semi-Urban,West Battalion,37,Dry
Type C,G-610,2022-01-09,5847,78.4,20,5,Armor Plating,Semi-Urban,West Battalion,31,Humid
Type E,G-267,2025-01-25,4408,79.78,34,2,None,Rural,South Battalion,29,Humid
Type C,G-385,2022-09-24,6363,94.87,50,1,Armor Plating,Rural,North-East Battalion,26,Rainy
Type B,G-533,2020-05-24,6228,72.96,34,4,Sensors,Semi-Urban,West Battalion,37,Dry
Type B,G-380,2018-05-12,7560,65.22,35,3,None,Semi-Urban,West Battalion,36,Dry
Type A,G-278,2022-07-23,4876,83.53,6,6,None,Rural,North-East Battalion,25,Rainy
Type A,G-746,2017-07-20,9042,74.02,30,10,None,Semi-Urban,West Battalion,34,Humid
Type A,G-769,2023-11-24,8801,73.65,29,5,None,Rural,South Battalion,30,Humid
Type E,G-383,2019-06-13,5564,62.66,35,1,Engine,Rural,South Battalion,29,Humid
Type C,G-734,2022-01-29,7377,96.18,36,3,None,Rural,East Battalion,32,Cloudy
Type C,G-185,2016-04-17,6981,68.53,21,5,None,Urban,West Battalion,34,Hot
Type C,G-772,2019-03-03,9488,74.07,6,2,None,Urban,West Battalion,35,Hot
Type D,G-582,2023-09-17,7475,65.81,15,2,None,Urban,West Battalion,38,Hot
Type E,G-217,2018-04-17,4127,88.43,28,9,Gun System,Urban,West Battalion,38,Hot
Type C,G-432,2019-07-09,4821,88.93,48,1,Radar,Rural,South Battalion,33,Humid
Type A,G-806,2017-10-21,166,83.66,8,1,None,Rural,South Battalion,33,Humid
Type A,G-739,2024-11-06,2874,73.22,43,6,Sensors,Semi-Urban,West Battalion,40,Dry
Type B,G-148,2022-12-26,4636,73.87,48,3,None,Rural,South Battalion,30,Humid
Type D,G-644,2023-10-14,3620,81.78,41,7,Radar,Urban,South Battalion,35,Hot
Type B,G-989,2023-08-28,5519,97.47,40,3,None,Rural,North Battalion,30,Cool
Type C,G-507,2018-07-13,2659,71.03,7,6,None,Urban,East Battalion,28,Rainy
Type A,G-457,2016-11-23,8142,98.89,48,3,None,Urban,West Battalion,34,Hot
Type A,G-785,2015-05-18,4150,67.22,23,3,None,Rural,East Battalion,35,Cloudy
Type C,G-774,2016-08-10,5073,63.44,1,4,None,Rural,North Battalion,30,Cool
Type C,G-993,2019-07-27,5494,97.8,32,7,Gun System,Urban,East Battalion,32,Rainy
Type C,G-557,2023-11-03,7009,63.76,24,6,None,Urban,South Battalion,36,Hot
Type A,G-451,2015-08-06,4778,79.47,40,5,Transmission,Semi-Urban,West Battalion,40,Dry
Type B,G-717,2017-08-05,9754,87.49,33,5,None,Urban,South Battalion,34,Hot
Type C,G-172,2019-05-04,2775,74.53,40,6,Brakes,Urban,North Battalion,37,Sunny
Type C,G-304,2016-10-23,2888,86.91,16,4,Brakes,Semi-Urban,West Battalion,39,Dry
Type C,G-110,2016-12-16,4385,70.91,29,3,Sensors,Semi-Urban,West Battalion,31,Humid
Type C,G-835,2020-03-26,2477,96.25,24,5,Brakes,Semi-Urban,West Battalion,32,Humid
Type B,G-734,2018-01-06,6971,61.87,39,9,Transmission,Rural,East Battalion,35,Cloudy
Type E,G-612,2019-10-26,9614,80.26,14,4,None,Rural,South Battalion,32,Humid
Type D,G-224,2017-04-21,2690,77.47,31,7,Radar,Semi-Urban,West Battalion,36,Dry
Type B,G-327,2024-11-20,6929,72.59,37,7,Transmission,Urban,West Battalion,35,Hot
Type C,G-992,2021-08-15,9527,97.15,38,0,None,Rural,North-East Battalion,25,Rainy
Type A,G-248,2020-10-18,6252,87.97,46,4,Radar,Semi-Urban,West Battalion,37,Dry
Type D,G-587,2015-05-08,1664,93.2,32,1,None,Rural,North-East Battalion,27,Rainy
Type E,G-416,2017-06-18,5671,69.82,4,3,None,Rural,North Battalion,26,Cool
Type E,G-398,2018-11-21,4844,60.18,49,2,None,Semi-Urban,West Battalion,40,Dry
Type C,G-327,2021-03-05,5975,80.9,3,3,None,Urban,West Battalion,34,Hot
Type C,G-951,2017-04-22,2793,70.12,6,5,Brakes,Semi-Urban,West Battalion,36,Dry
Type E,G-470,2022-07-17,5783,66.37,33,0,Radar,Urban,South Battalion,32,Hot
Type D,G-112,2021-01-23,8511,98.05,30,8,Gun System,Urban,East Battalion,30,Rainy
Type B,G-449,2017-04-18,2265,94.44,40,0,Transmission,Rural,East Battalion,35,Cloudy
Type A,G-568,2021-05-19,8372,94.6,14,5,None,Urban,South Battalion,36,Hot
Type E,G-415,2020-09-26,9453,87.66,9,1,Wiring,Urban,South Battalion,33,Hot
Type A,G-730,2021-10-26,6983,86.76,34,5,None,Rural,East Battalion,31,Cloudy
Type B,G-734,2024-04-24,7563,73.22,14,0,None,Rural,North Battalion,27,Cool
Type E,G-190,2019-07-30,5120,86.61,35,4,None,Rural,North Battalion,30,Cool
Type C,G-233,2019-05-05,4203,81.87,49,3,None,Rural,North Battalion,29,Cool
Type A,G-460,2020-11-22,5896,70.57,3,8,None,Urban,West Battalion,35,Hot
Type E,G-310,2020-01-03,9867,96.29,7,1,Sensors,Urban,South Battalion,33,Hot
Type C,G-720,2017-02-16,3968,87.04,41,2,None,Urban,South Battalion,34,Hot
Type E,G-442,2015-08-18,2831,67.32,43,0,None,Urban,North Battalion,35,Sunny
Type C,G-221,2024-05-27,8682,93.51,18,8,None,Rural,South Battalion,31,Humid
Type E,G-219,2019-07-22,2072,85.71,29,1,Transmission,Urban,South Battalion,33,Hot
Type E,G-259,2015-10-03,821,60.56,6,4,Brakes,Rural,North Battalion,29,Cool
Type C,G-548,2021-11-04,210,67.95,28,2,None,Rural,North-East Battalion,29,Rainy
Type D,G-292,2016-09-10,594,80.81,13,3,None,Semi-Urban,West Battalion,39,Dry
Type A,G-734,2015-11-27,6292,89.43,7,0,Navigation System,Urban,South Battalion,35,Hot
Type E,G-108,2020-09-01,9373,79.45,16,4,Engine,Urban,West Battalion,34,Hot
Type B,G-694,2021-08-03,8706,73.88,28,10,Gun System,Semi-Urban,West Battalion,39,Dry
Type A,G-433,2017-09-27,2168,93.78,42,1,Transmission,Urban,East Battalion,30,Rainy
Type C,G-697,2024-06-12,3078,66.0,45,0,None,Urban,North Battalion,35,Sunny
Type E,G-217,2022-02-15,3543,87.15,30,7,None,Semi-Urban,West Battalion,34,Humid
Type C,G-803,2022-09-03,4994,99.58,7,3,Sensors,Rural,South Battalion,31,Humid
Type A,G-150,2023-10-12,9978,90.34,48,2,None,Rural,North-East Battalion,27,Rainy
Type B,G-406,2019-07-01,3843,88.87,43,9,Radar,Semi-Urban,West Battalion,39,Dry
Type D,G-474,2022-12-02,4646,60.74,41,4,None,Urban,North Battalion,37,Sunny
Type A,G-809,2023-07-12,9439,99.82,3,3,None,Urban,East Battalion,28,Rainy
Type B,G-819,2016-01-24,3612,62.83,33,7,Navigation System,Rural,North Battalion,29,Cool
Type A,G-701,2017-06-01,4108,79.23,25,1,None,Rural,South Battalion,32,Humid
Type E,G-549,2023-10-24,8078,88.69,40,7,None,Rural,North Battalion,28,Cool
Type C,G-159,2018-04-01,6717,87.61,50,3,None,Semi-Urban,West Battalion,37,Dry
Type B,G-175,2022-09-25,2770,79.11,19,4,None,Rural,North-East Battalion,27,Rainy
Type E,G-270,2020-03-23,3037,96.86,36,4,None,Urban,East Battalion,30,Rainy
Type A,G-505,2017-09-27,2201,87.97,22,2,Navigation System,Semi-Urban,West Battalion,31,Humid
Type A,G-774,2015-12-10,6953,83.64,38,5,None,Rural,North Battalion,30,Cool
Type A,G-944,2022-07-13,4755,79.56,28,1,Engine,Rural,North-East Battalion,28,Rainy
Type E,G-305,2016-03-31,5000,74.99,35,3,Sensors,Semi-Urban,West Battalion,30,Humid
Type B,G-869,2017-09-28,4791,63.49,39,0,Armor Plating,Semi-Urban,West Battalion,34,Humid
Type A,G-121,2015-04-07,8627,96.24,12,6,None,Semi-Urban,West Battalion,38,Dry
Type C,G-485,2023-03-15,8939,94.66,34,7,None,Urban,South Battalion,34,Hot
Type B,G-722,2022-05-09,287,83.37,26,7,None,Rural,South Battalion,33,Humid
Type A,G-291,2023-01-09,5734,89.46,47,0,None,Rural,East Battalion,33,Cloudy
Type B,G-395,2022-12-06,600,78.65,15,1,Gun System,Semi-Urban,West Battalion,39,Dry
Type C,G-764,2022-02-01,3918,65.46,13,1,Transmission,Rural,South Battalion,33,Humid
Type C,G-827,2015-11-08,4098,61.36,2,3,Transmission,Urban,East Battalion,29,Rainy
Type E,G-675,2019-04-22,5600,92.56,4,4,Radar,Rural,South Battalion,31,Humid
Type A,G-942,2018-05-01,4342,89.29,19,4,None,Rural,East Battalion,35,Cloudy
Type D,G-435,2018-05-30,2134,96.32,0,8,Engine,Urban,East Battalion,32,Rainy
Type B,G-889,2018-02-14,4198,62.77,6,3,Brakes,Urban,West Battalion,34,Hot
Type B,G-189,2021-04-17,6371,87.45,24,1,Navigation System,Rural,South Battalion,31,Humid
Type B,G-914,2020-07-12,2800,91.11,38,2,Wiring,Rural,North Battalion,28,Cool
Type C,G-138,2020-12-13,9397,82.95,3,2,Transmission,Rural,South Battalion,30,Humid
Type D,G-661,2023-11-18,3864,89.87,13,2,Armor Plating,Urban,East Battalion,31,Rainy
Type C,G-243,2017-07-16,7082,65.45,23,3,Wiring,Rural,East Battalion,35,Cloudy
Type A,G-521,2024-04-27,7378,64.32,32,7,Sensors,Semi-Urban,West Battalion,33,Humid
Type E,G-845,2021-09-07,4812,88.28,5,3,None,Rural,South Battalion,30,Humid
Type A,G-938,2022-02-25,5662,95.55,0,2,Gun System,Rural,South Battalion,30,Humid
Type C,G-764,2020-11-03,3477,93.95,4,5,None,Rural,North Battalion,28,Cool
Type B,G-121,2023-06-20,7231,64.28,28,2,Gun System,Urban,North Battalion,33,Sunny
Type A,G-320,2022-06-23,1254,60.17,6,6,None,Rural,North Battalion,30,Cool
Type E,G-425,2020-02-21,4170,63.34,22,4,Transmission,Semi-Urban,West Battalion,40,Dry
Type D,G-136,2017-07-28,8204,79.29,10,4,Gun System,Urban,East Battalion,31,Rainy
Type C,G-816,2023-04-05,4572,92.09,4,3,Gun System,Rural,North Battalion,30,Cool
Type D,G-311,2019-12-07,663,63.12,34,7,None,Urban,South Battalion,34,Hot
Type B,G-629,2015-11-12,5783,95.63,38,5,Brakes,Urban,North Battalion,36,Sunny
Type E,G-109,2017-09-06,5971,63.65,23,3,None,Rural,South Battalion,30,Humid
Type A,G-703,2017-05-02,5294,60.04,21,6,Sensors,Urban,South Battalion,33,Hot
Type D,G-816,2021-07-07,1911,75.36,31,1,Transmission,Rural,North-East Battalion,27,Rainy
Type D,G-541,2018-07-30,5827,80.0,4,1,None,Urban,North Battalion,35,Sunny
Type E,G-522,2023-12-27,7804,81.95,47,6,None,Semi-Urban,West Battalion,32,Humid
Type A,G-608,2017-02-08,1192,61.66,0,7,Engine,Rural,East Battalion,34,Cloudy
Type A,G-816,2019-11-04,9284,79.23,15,4,Navigation System,Urban,East Battalion,30,Rainy
Type A,G-194,2023-08-07,3767,86.1,35,4,None,Rural,East Battalion,32,Cloudy
Type A,G-463,2018-12-08,2031,94.95,43,3,None,Urban,South Battalion,36,Hot
Type A,G-591,2020-02-16,7087,86.51,10,7,Transmission,Urban,North Battalion,33,Sunny
Type A,G-626,2021-01-20,1279,96.78,25,6,Radar,Urban,East Battalion,28,Rainy
Type A,G-468,2022-10-29,2288,73.71,20,3,Armor Plating,Urban,South Battalion,36,Hot
Type C,G-481,2015-07-09,8649,81.86,30,4,None,Semi-Urban,West Battalion,33,Humid
Type C,G-771,2024-10-23,6431,84.28,50,8,None,Urban,East Battalion,30,Rainy
Type A,G-677,2020-09-18,1052,92.5,44,3,Sensors,Rural,North-East Battalion,27,Rainy
Type E,G-381,2020-07-28,6181,98.52,8,6,None,Rural,South Battalion,29,Humid
Type C,G-642,2019-12-15,2882,94.73,46,9,None,Semi-Urban,West Battalion,40,Dry
Type E,G-264,2022-06-15,8865,62.52,1,4,None,Urban,North Battalion,35,Sunny
Type C,G-135,2022-07-29,6955,66.21,44,0,Sensors,Urban,West Battalion,37,Hot
Type C,G-296,2015-09-24,827,98.54,10,3,Gun System,Semi-Urban,West Battalion,34,Humid
Type C,G-717,2021-06-16,2469,83.11,39,1,Radar,Rural,East Battalion,35,Cloudy
Type A,G-556,2021-04-03,2789,63.6,35,7,None,Semi-Urban,West Battalion,39,Dry
Type D,G-506,2022-06-26,7447,96.4,16,1,None,Urban,North Battalion,36,Sunny
Type E,G-884,2021-06-11,9167,80.14,31,2,None,Rural,North-East Battalion,26,Rainy
Type D,G-639,2016-02-08,5425,60.84,45,7,None,Rural,East Battalion,31,Cloudy
Type E,G-715,2024-04-18,8493,84.86,36,4,Engine,Rural,East Battalion,32,Cloudy
Type B,G-163,2022-01-09,6760,66.67,4,2,Sensors,Urban,East Battalion,30,Rainy
Type C,G-592,2016-04-05,517,75.87,27,9,Sensors,Semi-Urban,West Battalion,30,Humid
Type B,G-457,2023-02-28,3402,88.53,27,8,None,Urban,North Battalion,34,Sunny
Type A,G-246,2019-05-04,6027,70.27,14,4,Sensors,Urban,South Battalion,33,Hot
Type C,G-375,2018-05-21,4524,80.83,28,1,Gun System,Semi-Urban,West Battalion,33,Humid
Type C,G-512,2021-03-09,3146,97.37,30,6,Gun System,Semi-Urban,West Battalion,34,Humid
Type B,G-482,2019-12-25,8411,66.88,11,2,Transmission,Rural,North Battalion,29,Cool
Type C,G-873,2021-05-01,2538,91.03,3,4,None,Rural,North Battalion,30,Cool
Type C,G-263,2024-10-16,5681,80.77,4,7,Wiring,Semi-Urban,West Battalion,39,Dry
Type E,G-564,2016-02-14,5069,72.49,31,9,None,Urban,South Battalion,34,Hot
Type A,G-861,2015-04-23,3337,86.91,6,2,None,Urban,North Battalion,35,Sunny
Type A,G-428,2015-07-03,2572,65.95,11,2,Transmission,Urban,South Battalion,34,Hot
Type D,G-694,2020-11-07,6933,75.13,17,9,Transmission,Rural,South Battalion,29,Humid
Type D,G-100,2025-01-05,775,65.36,30,2,Navigation System,Semi-Urban,West Battalion,32,Humid
Type D,G-763,2020-09-22,7112,87.97,47,5,None,Urban,West Battalion,35,Hot
Type E,G-204,2018-11-30,429,98.91,45,2,Navigation System,Semi-Urban,West Battalion,31,Humid
Type C,G-521,2015-11-19,8834,78.25,41,8,Sensors,Urban,West Battalion,35,Hot
Type A,G-851,2020-10-26,2208,70.39,0,4,None,Urban,West Battalion,35,Hot
Type D,G-783,2024-03-07,3945,69.03,48,2,None,Semi-Urban,West Battalion,38,Dry
Type C,G-239,2024-02-25,6817,62.99,28,1,Wiring,Rural,North Battalion,30,Cool
Type A,G-291,2020-09-30,7228,60.67,40,5,None,Rural,North-East Battalion,27,Rainy
Type E,G-666,2020-05-26,5186,76.54,34,1,None,Semi-Urban,West Battalion,36,Dry
Type E,G-204,2023-08-14,6609,99.18,49,6,None,Rural,North-East Battalion,26,Rainy
Type B,G-879,2024-12-08,6864,62.7,24,6,Sensors,Semi-Urban,West Battalion,33,Humid
Type C,G-457,2025-02-15,8210,80.56,22,2,None,Semi-Urban,West Battalion,34,Humid
Type A,G-686,2015-05-14,3328,70.74,9,1,Sensors,Rural,North-East Battalion,28,Rainy
Type B,G-882,2021-05-22,5031,64.79,42,4,None,Rural,South Battalion,32,Humid
Type D,G-130,2018-08-21,8786,97.34,40,3,None,Rural,East Battalion,35,Cloudy
Type E,G-389,2020-07-11,7013,68.76,15,3,Gun System,Semi-Urban,West Battalion,32,Humid
Type E,G-138,2019-05-06,3954,70.14,27,9,None,Semi-Urban,West Battalion,39,Dry
