Aircraft Type,Aircraft ID,Purchase Timestamp,Usage Hours,Performance Metrics,Maintenance Logs,Number of Failures,Parts with Issues,State,Area,Battalion,Temperature,Weather
Type D,A-440,2018-05-17,656,90.23,49,3,,West Bengal,South Zone,Delta Squadron,43.4,Stormy
Type A,A-767,2015-11-02,1744,69.74,29,9,Wiring,Assam,South Zone,Charlie Battalion,32.2,Cloudy
Type D,A-321,2022-03-03,6883,99.24,45,4,Gun System,Punjab,North Zone,Delta Squadron,16.6,Stormy
Type A,A-549,2018-03-03,5975,93.17,20,2,,Rajasthan,East Zone,Alpha Battalion,13.3,Rainy
Type D,A-630,2019-01-07,2688,72.15,10,5,Armor Plating,Tamil Nadu,West Zone,Bravo Battalion,25.7,Cloudy
Type A,A-703,2020-09-28,3841,63.23,1,2,,Tamil Nadu,West Zone,Bravo Battalion,27.9,Stormy
Type E,A-617,2023-11-26,3107,89.55,17,5,Navigation System,Delhi,North Zone,Charlie Battalion,11.2,Cloudy
Type C,A-522,2018-05-31,8024,60.33,20,0,,Assam,East Zone,Delta Squadron,34.1,Rainy
Type B,A-225,2021-05-21,2073,87.56,39,3,Engine,Assam,South Zone,Echo Force,31.6,Rainy
Type C,A-696,2020-04-30,3080,74.04,24,3,,West Bengal,Central Command,Bravo Battalion,21.2,Sunny
Type B,A-143,2017-04-25,6680,60.24,8,2,Wiring,Kerala,South Zone,Echo Force,28.2,Windy
Type A,A-934,2023-03-02,8549,63.24,30,6,,West Bengal,North Zone,Charlie Battalion,22.6,Windy
Type D,A-481,2020-05-04,8507,77.2,0,7,Armor Plating,Punjab,East Zone,Delta Squadron,23.2,Foggy
Type A,A-729,2016-10-16,777,69.58,40,6,Radar,Rajasthan,South Zone,Echo Force,44.7,Stormy
Type D,A-291,2023-12-30,6464,75.61,4,8,,Uttar Pradesh,West Zone,Delta Squadron,13.3,Sunny
Type B,A-436,2024-04-12,2691,87.43,14,4,Navigation System,Delhi,Central Command,Alpha Battalion,39.8,Rainy
Type D,A-898,2021-06-22,2294,77.67,23,1,Armor Plating,West Bengal,North Zone,Alpha Battalion,19.0,Stormy
Type D,A-903,2018-06-29,7185,87.33,39,5,Wiring,Tamil Nadu,West Zone,Echo Force,40.1,Windy
Type C,A-679,2025-01-02,6622,95.93,10,4,,West Bengal,North Zone,Alpha Battalion,31.4,Rainy
Type C,A-753,2022-03-09,7181,87.06,4,3,,Tamil Nadu,Central Command,Echo Force,31.1,Foggy
Type B,A-941,2016-09-24,7526,66.83,5,3,,Uttar Pradesh,South Zone,Delta Squadron,18.0,Sunny
Type C,A-745,2019-03-01,840,72.94,15,5,,Kerala,South Zone,Echo Force,28.5,Foggy
Type C,A-916,2017-05-01,1477,82.0,36,5,Radar,Maharashtra,North Zone,Charlie Battalion,31.6,Windy
Type B,A-202,2023-06-26,2674,60.54,37,5,,Punjab,North Zone,Charlie Battalion,14.9,Sunny
Type C,A-830,2019-07-01,117,63.29,28,2,Armor Plating,Assam,West Zone,Echo Force,43.7,Rainy
Type E,A-139,2021-03-29,1393,60.16,26,5,,Delhi,Central Command,Bravo Battalion,29.9,Rainy
Type D,A-173,2016-01-18,7286,77.99,0,8,,Rajasthan,East Zone,Alpha Battalion,13.6,Sunny
Type C,A-888,2015-03-31,5640,62.66,46,4,,Gujarat,North Zone,Delta Squadron,43.6,Stormy
Type C,A-289,2024-03-16,9437,97.42,11,4,Brakes,Maharashtra,East Zone,Bravo Battalion,11.7,Sunny
Type A,A-162,2016-03-12,3501,81.14,27,4,,Delhi,West Zone,Echo Force,43.3,Cloudy
Type B,A-178,2024-06-12,5117,64.93,15,9,,Kerala,Central Command,Alpha Battalion,11.8,Cloudy
Type D,A-694,2019-06-03,3770,92.72,34,6,Wiring,Tamil Nadu,South Zone,Echo Force,42.4,Cloudy
Type B,A-457,2016-02-17,3742,74.48,30,1,,Kerala,South Zone,Alpha Battalion,39.2,Rainy
Type D,A-464,2017-11-05,9206,95.29,39,5,,Uttar Pradesh,Central Command,Delta Squadron,20.8,Cloudy
Type C,A-471,2022-07-15,6730,98.04,11,8,Wiring,Tamil Nadu,North Zone,Delta Squadron,26.9,Sunny
Type A,A-807,2023-05-13,6903,79.61,4,7,Sensors,Kerala,North Zone,Echo Force,18.8,Windy
Type A,A-576,2015-07-22,8239,62.92,47,5,Navigation System,Tamil Nadu,East Zone,Alpha Battalion,17.3,Sunny
Type A,A-458,2021-02-17,8192,66.05,40,3,Wiring,Delhi,West Zone,Echo Force,43.7,Sunny
Type A,A-326,2017-06-29,3379,60.79,1,7,Transmission,Assam,Central Command,Bravo Battalion,36.7,Windy
Type A,A-954,2022-07-19,2301,85.87,27,2,,Tamil Nadu,East Zone,Echo Force,36.6,Stormy
Type D,A-798,2015-03-31,992,91.69,2,6,,Punjab,Central Command,Charlie Battalion,33.2,Foggy
Type A,A-555,2016-05-18,4423,91.76,35,3,Armor Plating,Rajasthan,North Zone,Delta Squadron,28.8,Cloudy
Type E,A-459,2019-03-31,2817,88.0,24,8,Armor Plating,West Bengal,Central Command,Bravo Battalion,16.8,Rainy
Type C,A-695,2017-05-02,8928,61.26,16,6,Transmission,Punjab,West Zone,Bravo Battalion,33.2,Windy
Type B,A-573,2017-08-01,4003,90.2,47,6,Navigation System,Delhi,East Zone,Charlie Battalion,43.1,Stormy
Type A,A-789,2021-03-06,9304,76.53,48,2,Brakes,Assam,North Zone,Alpha Battalion,30.4,Foggy
Type B,A-658,2023-06-14,3953,69.5,5,1,,Gujarat,East Zone,Alpha Battalion,24.3,Stormy
Type B,A-614,2017-07-18,282,71.69,11,8,Transmission,Tamil Nadu,West Zone,Alpha Battalion,42.3,Windy
Type E,A-761,2022-07-16,1095,86.41,48,3,Transmission,Uttar Pradesh,East Zone,Alpha Battalion,23.5,Cloudy
Type E,A-154,2022-02-02,3247,64.07,0,1,,Gujarat,South Zone,Delta Squadron,43.4,Cloudy
Type A,A-783,2017-10-07,7214,74.45,12,5,Gun System,Delhi,East Zone,Charlie Battalion,24.2,Foggy
Type B,A-780,2017-02-20,794,72.51,10,4,Brakes,Delhi,Central Command,Echo Force,40.8,Foggy
Type A,A-156,2016-04-27,6594,75.08,39,9,Wiring,Assam,South Zone,Bravo Battalion,20.3,Rainy
Type D,A-164,2024-10-16,5078,90.05,47,0,Navigation System,Gujarat,North Zone,Charlie Battalion,16.9,Foggy
Type B,A-698,2019-09-10,8345,72.98,16,4,Navigation System,Kerala,East Zone,Echo Force,33.6,Foggy
Type B,A-517,2022-12-13,7035,94.02,48,4,Gun System,Rajasthan,North Zone,Alpha Battalion,36.4,Windy
Type B,A-482,2019-07-01,1152,87.63,38,6,,Rajasthan,South Zone,Delta Squadron,21.8,Windy
Type E,A-261,2023-10-03,2764,98.87,24,1,Gun System,Maharashtra,South Zone,Alpha Battalion,16.2,Windy
Type B,A-830,2022-02-13,4316,60.46,17,9,Sensors,Punjab,North Zone,Charlie Battalion,12.3,Windy
Type E,A-228,2022-06-10,9665,65.17,19,0,Engine,Tamil Nadu,East Zone,Alpha Battalion,37.3,Rainy
Type B,A-147,2021-01-12,8945,89.49,33,3,,Rajasthan,South Zone,Alpha Battalion,24.5,Foggy
Type D,A-497,2021-02-07,6655,61.34,39,1,Radar,Gujarat,North Zone,Alpha Battalion,23.0,Windy
Type C,A-213,2024-12-10,6627,84.37,16,4,,Assam,North Zone,Alpha Battalion,44.7,Windy
Type E,A-743,2020-06-07,4088,73.72,37,5,Transmission,Maharashtra,Central Command,Alpha Battalion,27.6,Sunny
Type D,A-132,2018-12-31,2289,62.02,21,6,Brakes,Tamil Nadu,East Zone,Echo Force,34.0,Windy
Type A,A-532,2022-03-25,4410,72.98,31,3,,Assam,North Zone,Delta Squadron,44.9,Foggy
Type A,A-721,2022-12-25,1551,98.35,4,2,,West Bengal,Central Command,Delta Squadron,27.5,Rainy
Type D,A-540,2019-10-21,2129,99.45,31,8,Navigation System,Gujarat,South Zone,Delta Squadron,18.0,Cloudy
Type C,A-826,2018-02-18,4851,79.3,45,7,,Rajasthan,South Zone,Echo Force,18.5,Sunny
Type B,A-856,2018-04-19,6793,90.55,40,3,Radar,Uttar Pradesh,North Zone,Bravo Battalion,36.0,Foggy
Type C,A-921,2016-02-13,4555,99.77,20,3,Armor Plating,Uttar Pradesh,East Zone,Charlie Battalion,13.4,Rainy
Type C,A-704,2017-10-12,7700,97.15,34,1,Sensors,Kerala,West Zone,Bravo Battalion,25.6,Cloudy
Type C,A-778,2021-03-21,9774,96.32,26,3,,Delhi,West Zone,Echo Force,14.7,Cloudy
Type C,A-546,2023-12-30,9176,71.3,50,1,,Tamil Nadu,Central Command,Alpha Battalion,16.1,Stormy
Type A,A-549,2023-06-17,5049,69.99,4,5,Armor Plating,Tamil Nadu,East Zone,Delta Squadron,16.1,Stormy
Type D,A-766,2016-10-24,2636,72.83,39,4,Radar,Tamil Nadu,West Zone,Delta Squadron,40.3,Foggy
Type A,A-432,2021-08-04,7034,77.54,47,3,,Uttar Pradesh,East Zone,Bravo Battalion,15.3,Cloudy
Type D,A-594,2025-01-27,9079,73.94,49,10,,Tamil Nadu,North Zone,Delta Squadron,31.1,Rainy
Type E,A-133,2017-11-27,2895,63.78,21,0,,Uttar Pradesh,East Zone,Echo Force,36.7,Windy
Type B,A-609,2019-09-28,2624,65.4,50,7,,Maharashtra,South Zone,Echo Force,16.7,Rainy
Type B,A-310,2024-11-09,7480,68.49,8,6,,Punjab,East Zone,Alpha Battalion,44.9,Windy
Type A,A-817,2019-09-01,2204,63.51,35,1,Brakes,Rajasthan,West Zone,Delta Squadron,30.8,Cloudy
Type B,A-676,2019-05-09,4738,70.12,22,4,Navigation System,Kerala,East Zone,Bravo Battalion,19.1,Sunny
Type B,A-261,2020-06-20,7079,66.64,15,1,Brakes,Assam,East Zone,Bravo Battalion,27.3,Foggy
Type B,A-836,2015-05-26,467,60.07,3,4,Gun System,Uttar Pradesh,Central Command,Echo Force,34.5,Foggy
Type B,A-265,2016-01-16,6449,74.15,26,5,,Rajasthan,East Zone,Charlie Battalion,21.5,Sunny
Type D,A-276,2023-10-29,5097,86.38,26,3,Radar,Rajasthan,West Zone,Alpha Battalion,30.5,Foggy
Type D,A-104,2024-05-16,8141,62.62,9,6,Gun System,Punjab,Central Command,Echo Force,31.9,Cloudy
Type A,A-445,2025-01-24,8785,81.65,31,2,,Assam,West Zone,Echo Force,35.2,Windy
Type B,A-676,2015-07-27,6409,62.1,47,6,Brakes,Delhi,East Zone,Delta Squadron,11.2,Windy
Type E,A-679,2015-10-23,6520,80.34,24,4,Sensors,Rajasthan,South Zone,Echo Force,20.0,Stormy
Type D,A-956,2017-05-11,8052,66.05,42,7,,Tamil Nadu,West Zone,Alpha Battalion,24.7,Windy
Type C,A-322,2022-09-04,2471,98.9,49,2,Sensors,Maharashtra,East Zone,Bravo Battalion,22.5,Rainy
Type E,A-311,2024-09-30,4424,88.89,28,2,,Maharashtra,Central Command,Charlie Battalion,20.9,Windy
Type C,A-460,2023-05-14,8887,71.42,48,6,Brakes,Delhi,South Zone,Alpha Battalion,32.6,Cloudy
Type B,A-335,2018-11-10,3070,84.94,21,4,Gun System,Uttar Pradesh,Central Command,Alpha Battalion,11.5,Rainy
Type E,A-473,2019-11-11,6984,69.77,15,2,,Kerala,West Zone,Bravo Battalion,16.5,Stormy
Type C,A-202,2017-03-02,5853,93.28,34,2,,Kerala,West Zone,Alpha Battalion,10.8,Stormy
Type B,A-822,2022-10-17,4448,73.49,41,2,,Assam,West Zone,Charlie Battalion,28.9,Foggy
Type A,A-265,2018-12-17,7214,78.3,35,2,,Delhi,North Zone,Alpha Battalion,11.6,Stormy
Type D,A-848,2018-02-10,7496,98.81,22,6,Brakes,Uttar Pradesh,South Zone,Charlie Battalion,19.8,Cloudy
Type D,A-519,2024-10-10,1817,91.68,0,2,,Kerala,South Zone,Bravo Battalion,11.1,Sunny
Type D,A-656,2016-05-22,3121,92.14,17,9,,Uttar Pradesh,Central Command,Charlie Battalion,14.8,Rainy
Type D,A-109,2020-04-16,3858,98.89,44,4,Sensors,Tamil Nadu,East Zone,Echo Force,22.2,Windy
Type D,A-422,2015-10-10,3545,93.97,12,7,Sensors,Uttar Pradesh,South Zone,Delta Squadron,28.8,Windy
Type A,A-119,2018-01-14,8135,73.54,11,6,Gun System,Uttar Pradesh,North Zone,Alpha Battalion,37.8,Stormy
Type B,A-714,2023-06-23,3104,68.35,6,7,,Gujarat,West Zone,Delta Squadron,20.5,Foggy
Type E,A-434,2024-12-31,7615,84.47,19,3,Sensors,Gujarat,North Zone,Bravo Battalion,28.2,Foggy
Type D,A-621,2015-10-17,3537,94.1,47,5,,Uttar Pradesh,West Zone,Alpha Battalion,27.7,Cloudy
Type A,A-532,2024-02-12,9714,64.03,39,0,Transmission,Assam,South Zone,Delta Squadron,21.1,Windy
Type C,A-733,2018-06-20,3979,86.65,4,1,,Rajasthan,North Zone,Bravo Battalion,40.6,Rainy
Type A,A-379,2020-03-26,2354,99.49,30,3,,Rajasthan,East Zone,Delta Squadron,23.4,Sunny
Type D,A-649,2015-03-07,4911,76.18,12,8,Engine,Maharashtra,Central Command,Echo Force,12.9,Cloudy
Type B,A-728,2022-12-30,4224,84.65,5,8,Armor Plating,Kerala,North Zone,Alpha Battalion,41.3,Rainy
Type C,A-492,2018-05-30,7169,83.91,41,2,,West Bengal,Central Command,Alpha Battalion,20.0,Cloudy
Type C,A-569,2024-01-17,7288,78.79,2,2,Wiring,Gujarat,North Zone,Alpha Battalion,39.9,Sunny
Type B,A-101,2023-05-16,6665,98.05,49,4,Navigation System,Punjab,Central Command,Bravo Battalion,44.3,Foggy
Type A,A-570,2024-07-10,6497,73.08,15,2,Sensors,Uttar Pradesh,Central Command,Alpha Battalion,39.6,Rainy
Type A,A-168,2025-01-11,9549,98.47,5,2,Brakes,Kerala,South Zone,Bravo Battalion,16.5,Foggy
Type E,A-438,2017-02-22,4446,73.47,18,6,,Maharashtra,South Zone,Echo Force,25.6,Sunny
Type A,A-748,2017-02-19,9509,98.44,25,2,,Gujarat,East Zone,Echo Force,11.2,Windy
Type B,A-332,2019-10-20,5545,89.49,29,6,Engine,Maharashtra,West Zone,Bravo Battalion,30.2,Cloudy
Type A,A-348,2019-08-03,7278,70.32,43,4,Transmission,Assam,South Zone,Charlie Battalion,13.7,Stormy
Type A,A-540,2017-07-26,7290,61.73,17,4,,Kerala,North Zone,Bravo Battalion,44.0,Sunny
Type A,A-197,2021-07-20,3790,75.91,49,1,Radar,Rajasthan,North Zone,Charlie Battalion,15.1,Foggy
Type B,A-465,2020-03-26,2207,68.24,38,0,,Rajasthan,West Zone,Alpha Battalion,27.5,Rainy
Type D,A-766,2016-04-20,4998,99.51,40,4,,Maharashtra,East Zone,Charlie Battalion,37.5,Sunny
Type C,A-698,2015-05-24,629,97.59,19,5,,Gujarat,Central Command,Echo Force,14.4,Sunny
Type E,A-426,2015-11-13,4019,72.5,5,6,,Rajasthan,South Zone,Echo Force,15.6,Stormy
Type B,A-380,2018-05-30,132,62.76,50,0,,Maharashtra,North Zone,Echo Force,24.9,Sunny
Type D,A-523,2024-02-05,5535,75.91,20,1,,Gujarat,North Zone,Echo Force,37.5,Stormy
Type E,A-786,2023-03-31,3901,77.23,43,3,,Delhi,South Zone,Echo Force,41.4,Foggy
Type E,A-216,2016-01-11,816,72.18,6,2,Sensors,Tamil Nadu,Central Command,Bravo Battalion,32.9,Rainy
Type A,A-581,2021-12-02,1631,67.24,42,3,Gun System,West Bengal,East Zone,Delta Squadron,44.7,Sunny
Type A,A-410,2021-12-27,2176,75.65,39,3,,Assam,North Zone,Bravo Battalion,29.8,Cloudy
Type B,A-154,2022-09-08,7126,78.41,25,3,,Gujarat,North Zone,Delta Squadron,37.7,Cloudy
Type A,A-579,2017-10-04,3108,93.58,32,5,,Tamil Nadu,West Zone,Bravo Battalion,40.0,Cloudy
Type A,A-775,2015-07-09,7163,67.63,25,3,,Maharashtra,East Zone,Echo Force,36.7,Foggy
Type E,A-526,2020-02-02,3402,88.91,31,5,Engine,Rajasthan,South Zone,Charlie Battalion,21.4,Sunny
Type E,A-984,2018-10-19,321,66.16,46,7,Gun System,Kerala,South Zone,Delta Squadron,16.4,Cloudy
Type E,A-108,2022-04-01,5450,94.18,21,4,Engine,West Bengal,South Zone,Bravo Battalion,38.9,Stormy
Type D,A-217,2024-01-20,3170,89.84,27,3,Radar,West Bengal,East Zone,Echo Force,34.9,Windy
Type B,A-256,2019-09-05,6385,86.18,33,3,Gun System,Maharashtra,East Zone,Echo Force,27.8,Windy
Type E,A-977,2017-08-30,8316,84.76,38,4,Brakes,Gujarat,Central Command,Charlie Battalion,21.6,Cloudy
Type B,A-369,2023-03-26,8020,80.22,19,8,,Uttar Pradesh,West Zone,Delta Squadron,21.8,Sunny
Type B,A-222,2024-10-28,3601,97.13,32,7,,Kerala,West Zone,Delta Squadron,34.6,Sunny
Type B,A-244,2020-01-17,3657,61.87,17,6,,Punjab,North Zone,Charlie Battalion,19.7,Foggy
Type B,A-664,2022-04-21,6024,76.24,27,6,Sensors,Uttar Pradesh,North Zone,Alpha Battalion,31.8,Cloudy
Type D,A-654,2024-05-29,3301,94.49,45,5,Brakes,Uttar Pradesh,North Zone,Bravo Battalion,42.0,Stormy
Type A,A-960,2018-09-04,2878,83.46,2,3,,Delhi,South Zone,Alpha Battalion,40.1,Sunny
Type E,A-330,2016-02-29,4333,88.74,50,1,,Punjab,South Zone,Echo Force,43.1,Sunny
Type A,A-876,2022-02-17,7775,68.54,13,4,,Gujarat,Central Command,Alpha Battalion,17.5,Sunny
Type C,A-995,2023-12-19,5137,90.89,50,5,Transmission,Kerala,North Zone,Echo Force,34.7,Sunny
Type B,A-937,2018-10-17,2601,93.69,20,3,,Delhi,West Zone,Charlie Battalion,39.0,Cloudy
Type C,A-452,2017-06-22,1652,97.26,6,4,,Tamil Nadu,East Zone,Charlie Battalion,20.7,Sunny
Type A,A-119,2015-04-03,1413,74.58,49,7,Engine,Delhi,West Zone,Charlie Battalion,27.2,Foggy
Type A,A-774,2019-03-04,784,61.21,17,10,Radar,Maharashtra,West Zone,Charlie Battalion,20.0,Cloudy
Type D,A-433,2022-11-21,3550,67.64,36,0,Brakes,Rajasthan,Central Command,Echo Force,13.0,Sunny
Type E,A-765,2021-06-14,8142,60.31,36,5,,Assam,Central Command,Charlie Battalion,29.0,Foggy
Type C,A-860,2020-07-25,3683,86.79,20,6,,Rajasthan,Central Command,Delta Squadron,35.8,Windy
Type A,A-227,2016-06-03,8415,94.1,27,5,Navigation System,Punjab,Central Command,Charlie Battalion,12.9,Foggy
Type C,A-889,2020-09-29,3832,72.65,41,3,Transmission,Kerala,North Zone,Charlie Battalion,18.4,Foggy
Type B,A-544,2015-11-19,7916,79.26,41,8,Radar,Gujarat,South Zone,Echo Force,29.1,Windy
Type E,A-407,2023-11-29,976,95.73,10,4,Brakes,Tamil Nadu,East Zone,Alpha Battalion,35.6,Foggy
Type A,A-706,2019-12-09,2061,85.28,3,1,Brakes,Assam,South Zone,Alpha Battalion,17.4,Stormy
Type C,A-353,2018-03-27,7500,65.26,22,8,,Rajasthan,South Zone,Delta Squadron,27.2,Windy
Type C,A-546,2015-09-01,7733,77.74,3,1,Armor Plating,Delhi,North Zone,Delta Squadron,35.2,Sunny
Type D,A-818,2022-08-11,9990,99.26,24,7,Armor Plating,West Bengal,Central Command,Bravo Battalion,15.6,Windy
Type C,A-109,2021-08-02,1860,76.96,26,5,,Kerala,North Zone,Echo Force,28.1,Windy
Type E,A-866,2023-07-25,5648,71.86,29,4,Navigation System,Maharashtra,East Zone,Alpha Battalion,43.0,Sunny
Type A,A-211,2019-04-25,9017,79.7,12,2,Transmission,Maharashtra,West Zone,Echo Force,16.4,Foggy
Type E,A-921,2016-11-20,121,99.27,2,1,Radar,West Bengal,North Zone,Echo Force,34.2,Sunny
Type B,A-813,2024-12-03,9281,68.1,19,2,,Gujarat,South Zone,Bravo Battalion,28.0,Stormy
Type C,A-908,2016-01-28,8972,64.71,40,1,Brakes,Gujarat,North Zone,Delta Squadron,32.8,Rainy
Type A,A-563,2022-04-17,4998,75.86,19,6,,Maharashtra,West Zone,Alpha Battalion,16.8,Sunny
Type A,A-891,2019-04-19,1060,78.24,38,1,,West Bengal,East Zone,Delta Squadron,19.5,Cloudy
Type B,A-248,2022-10-16,4200,86.54,41,4,,Rajasthan,South Zone,Echo Force,27.9,Rainy
Type E,A-576,2016-11-26,8015,79.27,0,3,Wiring,Delhi,East Zone,Bravo Battalion,24.4,Stormy
Type E,A-215,2024-09-11,7046,74.85,34,6,,Punjab,Central Command,Bravo Battalion,23.7,Windy
Type D,A-831,2022-10-25,737,75.5,33,4,,Tamil Nadu,Central Command,Bravo Battalion,44.4,Stormy
Type E,A-390,2021-09-28,1633,99.43,7,1,,Punjab,North Zone,Alpha Battalion,33.1,Foggy
Type C,A-673,2015-08-15,9736,70.35,45,0,,Gujarat,West Zone,Delta Squadron,43.7,Stormy
Type A,A-981,2023-10-11,5669,64.99,24,8,,Punjab,West Zone,Bravo Battalion,29.4,Cloudy
Type C,A-453,2016-09-11,1078,60.23,33,3,Sensors,Tamil Nadu,Central Command,Charlie Battalion,44.9,Foggy
Type D,A-288,2019-05-01,9227,74.38,36,4,,Punjab,Central Command,Delta Squadron,25.0,Foggy
Type D,A-512,2020-08-29,9997,71.45,15,7,,Tamil Nadu,North Zone,Echo Force,18.1,Cloudy
Type A,A-329,2019-01-07,4211,78.41,37,3,,Kerala,West Zone,Alpha Battalion,18.2,Windy
Type A,A-925,2018-10-16,3896,83.47,40,1,Brakes,Maharashtra,Central Command,Echo Force,11.2,Windy
Type D,A-166,2020-09-05,1351,67.82,31,3,Gun System,Uttar Pradesh,West Zone,Delta Squadron,33.0,Stormy
Type D,A-581,2016-04-07,9457,74.74,48,4,Sensors,Punjab,East Zone,Alpha Battalion,39.9,Foggy
Type A,A-227,2023-06-22,5623,83.5,39,4,Navigation System,Punjab,East Zone,Alpha Battalion,22.3,Foggy
Type B,A-899,2018-02-16,9919,67.96,8,2,,Uttar Pradesh,North Zone,Bravo Battalion,37.6,Windy
Type E,A-651,2024-06-05,2003,90.65,48,6,Transmission,Maharashtra,East Zone,Alpha Battalion,40.1,Foggy
Type E,A-343,2017-06-01,2822,66.25,36,7,Radar,Assam,Central Command,Delta Squadron,19.0,Sunny
Type E,A-834,2016-10-22,1701,81.2,11,2,,Assam,South Zone,Alpha Battalion,31.9,Windy
Type B,A-406,2023-08-11,9258,74.56,17,3,,Assam,East Zone,Bravo Battalion,28.9,Foggy
Type C,A-462,2020-06-01,7142,80.06,50,3,Radar,Assam,West Zone,Delta Squadron,34.2,Foggy
Type B,A-416,2016-06-12,7822,97.47,26,0,Sensors,Uttar Pradesh,East Zone,Alpha Battalion,42.2,Foggy
Type D,A-312,2020-12-13,9676,60.89,30,8,Wiring,West Bengal,South Zone,Charlie Battalion,41.6,Sunny
Type D,A-156,2017-01-15,4109,96.61,15,5,,Tamil Nadu,East Zone,Alpha Battalion,22.6,Windy
Type B,A-149,2021-05-03,6753,94.95,50,8,Gun System,Delhi,North Zone,Delta Squadron,38.8,Stormy
Type C,A-436,2019-05-15,1094,98.47,45,10,Gun System,Maharashtra,Central Command,Delta Squadron,37.1,Rainy
Type D,A-981,2015-08-29,5975,83.63,36,1,,West Bengal,West Zone,Alpha Battalion,36.2,Stormy
Type A,A-191,2023-08-30,8551,69.72,11,2,,West Bengal,East Zone,Alpha Battalion,11.1,Windy
Type D,A-395,2017-05-10,4121,93.71,33,7,,Uttar Pradesh,Central Command,Bravo Battalion,25.3,Cloudy
Type E,A-278,2022-05-26,1813,72.25,35,3,,West Bengal,Central Command,Alpha Battalion,15.6,Sunny
Type A,A-646,2023-02-21,666,78.96,31,4,,Gujarat,West Zone,Alpha Battalion,38.9,Cloudy
Type B,A-687,2024-06-20,7980,97.28,20,7,Wiring,West Bengal,North Zone,Echo Force,44.9,Foggy
Type C,A-586,2016-07-31,7553,76.78,36,5,Sensors,Maharashtra,East Zone,Delta Squadron,22.5,Rainy
Type C,A-407,2019-08-19,2545,78.07,21,1,,Kerala,West Zone,Echo Force,38.0,Sunny
Type D,A-419,2024-02-29,920,68.07,50,4,,Punjab,South Zone,Alpha Battalion,28.5,Stormy
Type D,A-209,2023-09-30,825,82.33,19,2,,Kerala,South Zone,Charlie Battalion,34.0,Stormy
Type B,A-152,2020-08-12,8256,64.24,42,3,,Gujarat,East Zone,Charlie Battalion,10.4,Foggy
Type A,A-208,2020-02-20,4942,86.62,33,5,,Uttar Pradesh,West Zone,Alpha Battalion,20.7,Rainy
Type B,A-745,2022-05-15,6946,91.05,48,6,,Assam,North Zone,Echo Force,28.0,Sunny
Type D,A-150,2019-04-06,8811,79.85,20,7,,Uttar Pradesh,North Zone,Echo Force,35.3,Cloudy
Type D,A-668,2016-07-11,7549,83.59,0,8,,West Bengal,Central Command,Delta Squadron,14.1,Windy
Type B,A-221,2022-06-14,3776,79.43,2,7,Sensors,Maharashtra,South Zone,Bravo Battalion,41.4,Foggy
Type A,A-445,2020-12-16,3595,67.58,0,2,,Rajasthan,North Zone,Alpha Battalion,24.9,Foggy
Type A,A-909,2016-03-29,5818,84.15,3,3,,Rajasthan,West Zone,Bravo Battalion,11.6,Windy
Type A,A-460,2017-02-28,6502,87.52,27,4,Sensors,Gujarat,Central Command,Bravo Battalion,24.9,Sunny
Type B,A-944,2015-04-28,6389,77.11,32,4,Navigation System,Assam,West Zone,Charlie Battalion,43.7,Windy
Type A,A-302,2023-04-17,9621,60.1,38,2,,Assam,North Zone,Charlie Battalion,37.3,Windy
Type A,A-357,2023-02-28,2159,93.84,18,2,,West Bengal,West Zone,Echo Force,37.7,Foggy
Type B,A-652,2023-12-14,2407,60.47,35,9,Transmission,Rajasthan,South Zone,Echo Force,36.7,Cloudy
Type E,A-603,2016-11-11,6781,98.45,13,6,,Delhi,West Zone,Alpha Battalion,29.0,Stormy
Type D,A-965,2024-08-04,812,93.8,13,2,Navigation System,Punjab,South Zone,Echo Force,17.4,Rainy
Type A,A-843,2025-01-15,1903,94.78,50,3,Brakes,Delhi,North Zone,Delta Squadron,24.1,Sunny
Type C,A-374,2023-02-17,3287,91.87,26,2,Brakes,Rajasthan,West Zone,Echo Force,24.6,Cloudy
Type C,A-606,2019-04-14,9104,65.29,19,7,Armor Plating,West Bengal,North Zone,Echo Force,12.0,Stormy
Type A,A-160,2018-06-26,3118,67.18,3,8,,Punjab,West Zone,Charlie Battalion,21.5,Rainy
Type A,A-605,2022-07-31,5957,97.83,27,1,Brakes,Kerala,East Zone,Charlie Battalion,30.7,Cloudy
Type B,A-119,2022-09-08,7517,77.77,23,4,Sensors,Punjab,South Zone,Echo Force,29.4,Rainy
Type D,A-678,2022-05-02,8023,62.28,36,2,,Kerala,North Zone,Charlie Battalion,31.0,Sunny
Type D,A-137,2018-11-28,8760,66.17,39,3,Sensors,Uttar Pradesh,Central Command,Echo Force,41.8,Foggy
Type E,A-376,2020-12-11,1632,63.15,28,7,,Punjab,North Zone,Bravo Battalion,13.9,Stormy
Type D,A-504,2024-06-26,3636,98.14,0,4,Armor Plating,Tamil Nadu,West Zone,Charlie Battalion,15.2,Stormy
Type D,A-686,2023-02-22,9858,63.68,48,1,,Tamil Nadu,Central Command,Echo Force,25.8,Sunny
Type D,A-910,2018-07-04,1227,78.7,6,5,Brakes,West Bengal,Central Command,Charlie Battalion,17.7,Windy
Type B,A-212,2022-02-17,1839,95.35,36,0,,Uttar Pradesh,Central Command,Bravo Battalion,32.7,Sunny
Type C,A-686,2016-09-18,4810,69.3,47,2,,Punjab,East Zone,Alpha Battalion,41.9,Windy
